Date          Time       OutputV        FluxMagnet       Temperature
23-3-2022     12:13:43      3548.39       189102.20         34.50
23-3-2022     12:13:44      4217.99       224811.92         34.50
23-3-2022     12:13:45      3587.49       191187.44         34.50
23-3-2022     12:13:46      3861.19       205784.11         34.50
23-3-2022     12:13:47      4315.74       230025.00         34.50
23-3-2022     12:13:48      3714.56       197964.45         34.75
23-3-2022     12:13:49      3548.39       189102.20         34.50
23-3-2022     12:13:51      4560.12       243057.77         34.50
23-3-2022     12:13:52      3553.27       189362.84         34.50
23-3-2022     12:13:53      4110.46       219077.52         34.50
23-3-2022     12:13:54      3685.24       196400.53         34.50
23-3-2022     12:13:55      3822.09       203698.86         34.50
23-3-2022     12:13:56      4501.47       239929.91         34.50
23-3-2022     12:13:57      3695.01       196921.84         34.50
23-3-2022     12:13:58      3553.27       189362.84         34.50
23-3-2022     12:13:59      4393.94       234195.50         34.50
23-3-2022     12:14:0      3558.16       189623.52         34.50
23-3-2022     12:14:1      3753.67       200049.70         34.75
23-3-2022     12:14:2      4995.11       266256.03         34.50
23-3-2022     12:14:3      3616.81       192751.36         34.50
23-3-2022     12:14:4      5000.00       266516.69         34.50
23-3-2022     12:14:5      3611.93       192490.72         34.50
23-3-2022     12:14:6      5000.00       266516.69         34.50
23-3-2022     12:14:7      3621.70       193012.02         34.50
23-3-2022     12:14:8      4408.60       234977.45         34.50
23-3-2022     12:14:9      4257.09       226897.16         34.50
23-3-2022     12:14:10      3651.03       194575.95         34.50
23-3-2022     12:14:11      5000.00       266516.69         34.50
23-3-2022     12:14:12      3616.81       192751.36         34.50
23-3-2022     12:14:13      4863.15       259218.36         34.75
23-3-2022     12:14:14      3651.03       194575.95         34.50
23-3-2022     12:14:15      5000.00       266516.69         34.50
23-3-2022     12:14:16      3616.81       192751.36         34.50
23-3-2022     12:14:17      5000.00       266516.69         34.50
23-3-2022     12:14:18      3621.70       193012.02         34.75
23-3-2022     12:14:19      5000.00       266516.69         34.50
23-3-2022     12:14:20      3558.16       189623.52         34.75
23-3-2022     12:14:21      5000.00       266516.69         34.75
23-3-2022     12:14:23      3626.59       193272.67         34.50
23-3-2022     12:14:24      5000.00       266516.69         34.75
23-3-2022     12:14:25      3553.27       189362.84         34.50
23-3-2022     12:14:26      4120.23       219598.81         34.50
23-3-2022     12:14:27      3641.25       194054.64         34.50
23-3-2022     12:14:28      5000.00       266516.69         34.50
23-3-2022     12:14:29      3616.81       192751.36         34.50
23-3-2022     12:14:30      5000.00       266516.69         34.50
23-3-2022     12:14:31      3616.81       192751.36         34.75
23-3-2022     12:14:32      5000.00       266516.69         34.50
23-3-2022     12:14:33      3641.25       194054.64         34.50
23-3-2022     12:14:34      4946.24       263649.47         34.50
23-3-2022     12:14:35      3553.27       189362.84         34.75
23-3-2022     12:14:36      3968.72       211518.52         34.50
23-3-2022     12:14:37      3607.04       192230.05         34.50
23-3-2022     12:14:38      4765.40       254005.28         34.50
23-3-2022     12:14:39      3558.16       189623.52         34.50
23-3-2022     12:14:40      3973.61       211779.17         34.50
23-3-2022     12:14:41      4252.20       226636.50         34.50
23-3-2022     12:14:42      3695.01       196921.84         34.50
23-3-2022     12:14:43      4990.22       265995.38         34.50
23-3-2022     12:14:44      3636.36       193793.98         34.50
23-3-2022     12:14:45      3880.74       206826.73         34.50
23-3-2022     12:14:46      3734.12       199007.08         34.50
23-3-2022     12:14:47      4960.90       264431.47         34.50
23-3-2022     12:14:48      3636.36       193793.98         34.50
23-3-2022     12:14:49      5000.00       266516.69         34.50
23-3-2022     12:14:50      3616.81       192751.36         34.50
23-3-2022     12:14:52      5000.00       266516.69         34.50
23-3-2022     12:14:53      3641.25       194054.64         34.50
23-3-2022     12:14:54      5000.00       266516.69         34.50
23-3-2022     12:14:55      3484.85       185713.67         34.50
23-3-2022     12:14:56      5000.00       266516.69         34.50
23-3-2022     12:14:57      3382.21       180239.92         34.50
23-3-2022     12:14:58      4892.47       260782.31         34.50
23-3-2022     12:14:59      3445.75       183628.44         34.50
23-3-2022     12:15:0      3758.55       200310.36         34.50
23-3-2022     12:15:1      3396.87       181021.89         34.50
23-3-2022     12:15:2      3455.52       184149.75         34.50
23-3-2022     12:15:3      5000.00       266516.69         34.50
23-3-2022     12:15:4      3607.04       192230.05         34.50
23-3-2022     12:15:5      4941.35       263388.84         34.50
23-3-2022     12:15:6      3787.88       201874.30         34.50
23-3-2022     12:15:7      3655.91       194836.61         34.50
23-3-2022     12:15:8      5000.00       266516.69         34.50
23-3-2022     12:15:9      3631.48       193533.33         34.50
23-3-2022     12:15:10      5000.00       266516.69         34.50
